epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.5177,1.23959,1.19071,1.07576,0.82147,0.63938,0.7336,0.52236,1.03221,0.62846,0.93507,0.0700554,0.00332718,0.00332718
2,168.996,1.03674,0.66326,0.99082,0.8207,0.69816,0.77452,0.49619,1.2332,0.63019,0.9921,0.0399355,0.00654063,0.00654063
3,251.394,0.95287,0.55981,0.95775,0.89801,0.78065,0.84692,0.58401,1.10552,0.48851,0.93824,0.00969557,0.00963407,0.00963407
4,331.914,0.89072,0.49582,0.93824,0.92796,0.76407,0.87056,0.65413,0.92733,0.42416,0.89735,0.00946,0.00946,0.00946
5,412.198,0.83226,0.46768,0.91933,0.90628,0.82315,0.88004,0.69137,0.82747,0.40953,0.88087,0.00928,0.00928,0.00928
6,492.468,0.78046,0.42126,0.9018,0.93446,0.82087,0.91953,0.75726,0.69121,0.36359,0.85161,0.0091,0.0091,0.0091
7,572.745,0.75401,0.41177,0.89533,0.94488,0.85293,0.91707,0.75234,0.68059,0.34389,0.84604,0.00892,0.00892,0.00892
8,653.028,0.72992,0.38842,0.88678,0.93643,0.8538,0.92354,0.75053,0.70349,0.35974,0.85093,0.00874,0.00874,0.00874
9,733.505,0.69703,0.37394,0.87657,0.90362,0.87899,0.92177,0.77268,0.65619,0.31257,0.84042,0.00856,0.00856,0.00856
10,811.933,0.67946,0.36041,0.87429,0.93245,0.89348,0.94104,0.70542,0.93495,0.3468,0.89362,0.00838,0.00838,0.00838
11,890.597,0.6582,0.35424,0.86611,0.93701,0.90147,0.94884,0.78088,0.72158,0.32077,0.85475,0.0082,0.0082,0.0082
12,968.952,0.64884,0.3433,0.86443,0.9627,0.90463,0.96306,0.81367,0.61032,0.31686,0.83258,0.00802,0.00802,0.00802
13,1046.67,0.64333,0.33903,0.86683,0.92922,0.92037,0.96536,0.8119,0.64375,0.29161,0.83793,0.00784,0.00784,0.00784
14,1125.62,0.61476,0.33152,0.85449,0.95921,0.89779,0.95319,0.7939,0.65346,0.2899,0.83666,0.00766,0.00766,0.00766
15,1204.11,0.60395,0.32221,0.85279,0.91774,0.91302,0.97324,0.83985,0.58344,0.27889,0.82527,0.00748,0.00748,0.00748
16,1282.25,0.59172,0.31473,0.84909,0.95014,0.91985,0.96119,0.83172,0.55978,0.26921,0.82089,0.0073,0.0073,0.0073
17,1360.39,0.58097,0.31005,0.84524,0.94865,0.95433,0.96856,0.79475,0.71107,0.29259,0.85993,0.00712,0.00712,0.00712
